id	boardid	board_title	board_group_id	market_id	is_traded
177	TQIF	Т+: Паи - безадрес.	57	1	1
178	TQTF	Т+: ETF - безадрес.	57	1	1
129	TQBR	Т+: Акции и ДР - безадрес.	57	1	1
130	TQBS	Т+: А2-Акции и паи - безадрес.	57	1	0
131	TQNL	Т+: Б-Акции и паи - безадрес.	57	1	0
132	TQLV	Т+: В-Акции и ДР - безадрес.	57	1	0
133	TQLI	Т+: И-Акции - безадрес.	57	1	0
134	TQNE	Т+: Акции, паи и ДР внесписочные - безадрес.	57	1	0
158	TQDE	Т+: Акции Д - безадрес.	57	1	0
401	TQPI	Т+: Акции ПИР - безадрес.	57	1	1
135	TQOB	Т+: Гособлигации - безадрес.	58	2	1
136	TQOS	Т+: А2-Облигации - безадрес.	58	2	0
137	TQNO	Т+: Б-Облигации - безадрес.	58	2	0
138	TQOV	Т+: В-Облигации - безадрес.	58	2	0
139	TQNB	Т+: Облигации внесписочные - безадрес.	58	2	0
140	TQUS	Т+: Облигации внеспис. в ин.валюте - безадрес.	58	2	0
349	TQCB	Т+: Облигации - безадрес.	58	2	1
361	TQRD	Т+: Облигации Д - безадрес.	58	2	1
377	TQIR	Т+ Облигации ПИР - безадрес.	58	2	1
